timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,driver_temp_left_c,driver_temp_right_c,driver_fault_left,driver_fault_right,driver_enable_left,driver_enable_right,current_left_a,current_right_a,battery_voltage_v,telemetry_valid,telemetry_age_ms
1000,0.000,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,120,120,39.00,39.50,0,0,1,1,1.200,1.250,9.100,0,160
1100,0.100,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,121,121,39.10,39.60,0,0,1,1,1.230,1.280,9.100,0,160
1200,0.200,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,122,122,39.20,39.70,0,0,1,1,1.260,1.310,9.100,0,160
1300,0.300,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,123,123,39.30,39.80,0,0,1,1,1.290,1.340,9.100,0,160
1400,0.400,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,120,120,39.40,39.90,0,0,1,1,1.200,1.250,9.100,0,160
1500,0.500,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,121,121,39.50,40.00,0,0,1,1,1.230,1.280,9.100,0,160
1600,0.600,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,122,122,39.60,40.10,0,0,1,1,1.260,1.310,9.100,0,160
1700,0.700,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,123,123,39.70,40.20,0,0,1,1,1.290,1.340,9.100,0,160
1800,0.800,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,120,120,39.80,40.30,0,0,1,1,1.200,1.250,9.100,0,160
1900,0.900,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,121,121,39.90,40.40,0,0,1,1,1.230,1.280,9.100,0,160
2000,1.000,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,122,122,40.00,40.50,0,0,1,1,1.260,1.310,9.100,0,160
2100,1.100,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,123,123,40.10,40.60,0,0,1,1,1.290,1.340,9.100,0,160
2200,1.200,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,120,120,40.20,40.70,0,0,1,1,1.200,1.250,9.100,0,160
2300,1.300,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,121,121,40.30,40.80,0,0,1,1,1.230,1.280,9.100,0,160
2400,1.400,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,122,122,40.40,40.90,0,0,1,1,1.260,1.310,9.100,0,160
2500,1.500,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,123,123,40.50,41.00,0,0,1,1,1.290,1.340,9.100,0,160
2600,1.600,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,120,120,40.60,41.10,0,0,1,1,1.200,1.250,9.100,0,160
2700,1.700,undervoltage_lockout_run_006,porter_dev,motor_driver_expert,1,undervoltage_lockout,motor_driver,3,121,121,40.70,41.20,0,0,1,1,1.230,1.280,9.100,0,160
