timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w
1000,0.000,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.250,0.820,10.045
1100,0.100,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.940,0.840,10.870
1200,0.200,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.230,0.860,10.518
1300,0.300,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.920,0.880,11.370
1400,0.400,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.210,0.820,10.012
1500,0.500,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.900,0.840,10.836
1600,0.600,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.190,0.860,10.483
1700,0.700,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.880,0.880,11.334
1800,0.800,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.170,0.820,9.979
1900,0.900,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.860,0.840,10.802
2000,1.000,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.150,0.860,10.449
2100,1.100,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.840,0.880,11.299
2200,1.200,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.130,0.820,9.947
2300,1.300,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.820,0.840,10.769
2400,1.400,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.110,0.860,10.415
2500,1.500,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.800,0.880,11.264
2600,1.600,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.090,0.820,9.914
2700,1.700,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.780,0.840,10.735
